场景,风电/MWh,光伏/MWh,新能源/MWh
W1P1,252.324,509.44000000000005,761.7639999999999
W1P2,252.324,250.88,503.204
W1P3,252.324,85.12,337.44399999999996
W1P4,252.324,20.480000000000004,272.804
W2P1,149.464,509.44000000000005,658.904
W2P2,149.464,250.88,400.34400000000005
W2P3,149.464,85.12,234.584
W2P4,149.464,20.480000000000004,169.94400000000002
W3P1,271.40000000000003,509.44000000000005,780.8399999999999
W3P2,271.40000000000003,250.88,522.28
W3P3,271.40000000000003,85.12,356.52000000000004
W3P4,271.40000000000003,20.480000000000004,291.88
W4P1,367.484,509.44000000000005,876.924
W4P2,367.484,250.88,618.364
W4P3,367.484,85.12,452.60400000000004
W4P4,367.484,20.480000000000004,387.964
W5P1,309.98,509.44000000000005,819.4200000000001
W5P2,309.98,250.88,560.8599999999999
W5P3,309.98,85.12,395.1
W5P4,309.98,20.480000000000004,330.4599999999999
W6P1,206.32,509.44000000000005,715.76
W6P2,206.32,250.88,457.20000000000005
W6P3,206.32,85.12,291.44
W6P4,206.32,20.480000000000004,226.8
