场景,等比产量/t,等比成本/元/t,分别优化产量/t,分别优化成本/元/t,产量提升/t,成本变化/(元/t)
W1P1,54.277218213984256,7190.243273821664,59.15991198460008,6124.835363638548,4.882693770615823,-1065.4079101831157
W1P2,50.64470467733226,6226.211206796733,56.592670485971716,5778.773384471102,5.947965808639459,-447.4378223256308
W1P3,47.263892157564975,5617.942046624249,53.59199002523559,5637.799287477772,6.328097867670614,19.857240853522853
W1P4,38.608352380448856,6057.5043752725505,50.11955738678311,5758.096002090804,11.51120500633425,-299.40837318174636
W2P1,47.686003758110445,7235.2529521829465,52.39147580773792,5747.088990328666,4.705472049627474,-1488.1639618542804
W2P2,41.725482610656016,6379.702924046662,45.541467103477885,5679.389775291144,3.815984492821869,-700.3131487555174
W2P3,32.515499548093416,6356.237858699154,36.51760320910819,6126.024874005863,4.002103661014772,-230.2129846932903
W2P4,22.29607719531347,7732.870194935751,31.84483212477084,6536.64369164131,9.54875492945737,-1196.2265032944406
W3P1,57.279724229238084,7011.664685638177,64.7554235371103,5882.77084116902,7.475699307872219,-1128.8938444691566
W3P2,54.91185486002962,5987.658766666014,64.61693852124277,5411.633211807295,9.705083661213152,-576.0255548587193
W3P3,51.038142949299676,5450.289144546896,62.47594238639729,5221.553932579827,11.437799437097617,-228.7352119670686
W3P4,42.45449495450718,5809.443374493374,58.91230534570208,5304.8635954840865,16.457810391194897,-504.57977900928745
W4P1,59.773418132332424,7324.033217434426,65.28247693780907,6563.598052337731,5.509058805476641,-760.4351650966946
W4P2,59.55830668237692,6187.882642044563,65.28247693780907,6088.321968227781,5.724170255432142,-99.56067381678167
W4P3,58.376305430211204,5522.923610921841,63.98746340779039,5866.9287324520865,5.6111579775791895,344.00512153024556
W4P4,53.373036011879314,5561.667908030634,62.2825012367998,5857.339890965304,8.909465224920488,295.67198293467027
W5P1,59.39749897234896,7037.43044644155,66.65065966230591,6044.05292019997,7.25316068995695,-993.3775262415802
W5P2,56.21905175175204,6115.742135433323,64.71718434789506,5695.373269812795,8.498132596143016,-420.3688656205277
W5P3,53.71392390012313,5501.045753154628,62.71525719941603,5506.7744290643,9.001333299292902,5.728675909672347
W5P4,48.203841335181735,5581.978034836918,61.41983551266904,5461.454598367957,13.215994177487303,-120.52343646896043
W6P1,55.124019266024874,6827.485807162839,63.037444565941406,5496.212117495264,7.913425299916533,-1331.2736896675751
W6P2,51.31960556972603,5867.738231917039,59.59186072592126,5196.9157799321,8.272255156195229,-670.8224519849391
W6P3,42.31214448246946,5718.164833261008,50.05731162640716,5471.772709076247,7.7451671439376994,-246.3921241847611
W6P4,32.00978984686004,6483.826847170913,45.3845405420698,5692.528865182694,13.374750695209762,-791.2979819882194
