场景,目标产量/t,联网实际产量/t,离网储能吨氨成本/元,联网同产量吨氨成本/元,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,判定
W1P1,48.70410248611251,48.69,5981.8524091824875,4998.235814335592,238.9202,266.41920000000005,0.3005203711385678,0.6746131165178783,0.34973981443071617,部分满足
W1P2,31.854422912086285,31.860000000000003,7218.633095867045,6073.4233301946015,253.0002,254.7542,-0.012528517261388936,0.4954627580017948,0.5062642586306945,部分满足
W1P3,19.939726416854025,19.950000000000003,9533.604824681355,7884.938215538845,163.46299999999997,164.212,0.02673036118585614,0.5145071949390397,0.48663481940707204,部分满足
W1P4,15.247897485631455,15.24,11446.829225290136,9427.124435695538,113.37199999999999,114.636,0.15957244028679948,0.5824850850703395,0.42021377985660036,部分满足
W2P1,41.94770508229752,41.94,6289.356201125536,5282.483960419647,276.6322,294.6462,0.10564756019086216,0.5683624334909267,0.44717621990456885,部分满足
W2P2,24.505604190638763,24.510000000000005,8249.30768078026,6914.271656466745,236.53119999999998,237.10020000000003,-0.18448234518314258,0.40833919079482217,0.5922411725915713,部分满足
W2P3,12.522675216764384,12.510000000000002,12958.852348732404,10771.936650679454,89.32279999999999,90.13179999999998,0.23156054973911272,0.6179112394396322,0.3842197251304436,部分满足
W2P4,7.788153725449618,7.800000000000002,18836.848693994718,16144.701602564099,39.4638,40.7878,0.519985406957586,0.7659601470762663,0.24000729652120695,部分满足
W3P1,50.21904768784948,50.220000000000006,5905.493661914157,4939.516146953405,223.3262,248.7362,0.3629009784334819,0.7043720794779131,0.3185495107832591,部分满足
W3P2,33.31408379063093,33.3,7058.380128578341,5933.2459729729735,237.4062,238.3162,0.087400628015624,0.5446492893722307,0.4562996859921881,部分满足
W3P3,21.383132530120484,21.39,9132.807869848662,7532.524824684432,155.23899999999998,155.144,0.12967575451587576,0.5646874079890079,0.4351621227420621,部分满足
W3P4,16.710361445783132,16.710000000000004,10756.117816957525,8809.105074805504,107.9514,107.9564,0.2602686035356996,0.630145096359743,0.3698656982321502,部分满足
W4P1,56.4506424651782,56.46,5708.013760774802,4791.732469004604,189.51839999999999,224.69240000000005,0.4875441885499768,0.7748519156519157,0.2562279057250116,部分满足
W4P2,40.17447603177111,40.17,6499.285048810415,5586.25426188698,203.5984,205.55740000000003,0.33515728599983174,0.6697002782261663,0.33242135700008413,部分满足
W4P3,28.319295969538363,28.320000000000004,7813.770202637498,6556.354173728812,196.95839999999998,197.0824,0.12911772763828872,0.5647135785007072,0.43544113618085567,部分满足
W4P4,23.646524885201014,23.64,8700.26557504409,7238.075778341793,167.904,168.128,0.13328040746048608,0.5669675555784804,0.43335979626975696,部分满足
W5P1,52.52196815242334,52.53,5840.871410162984,4865.289765848086,212.7502,244.78520000000003,0.4025403334065558,0.7298015583228028,0.2987298332967221,部分满足
W5P2,36.017291288933194,36.03,6817.534883500954,5772.530679988898,226.83020000000002,228.5552,0.18498306172663412,0.5943194398490523,0.40750846913668304,部分满足
W5P3,24.172048192771083,24.18,8510.905699806313,7066.906166253102,174.62980000000002,174.51979999999998,0.11657909390027851,0.5581341565243795,0.44171045304986073,部分满足
W5P4,19.499277108433734,19.5,9753.007616845485,8042.207589743589,131.12199999999999,131.112,0.20648792592144302,0.6032257088389261,0.39675603703927864,部分满足
W6P1,46.03848154780617,46.050000000000004,6064.407773508462,5069.182875135721,243.1862,261.20120000000003,0.2701430647144294,0.651468373116253,0.36492846764278536,部分满足
W6P2,28.661204819277106,28.650000000000002,7590.561561494236,6272.7535043630005,255.1912,255.3462,-0.11699999999999999,0.4416497281449311,0.5585,部分满足
W6P3,16.678554216867468,16.68,10653.223913117927,8689.655743405276,113.89239999999998,113.8724,0.21855339006313498,0.6092348864338158,0.3907233049684326,部分满足
W6P4,11.939130189217366,11.940000000000001,13577.532555246935,11146.370837520937,64.5084,65.41839999999999,0.4231181657848324,0.7144256053831513,0.28844091710758374,部分满足
