场景,产量/t,吨氨成本/元,弃电/MWh,常规负荷缺供/MWh,最小正负荷率,分支节点数
W1P1,48.70410248611251,5981.8524091824875,0.0,0.0,0.1,7
W1P2,31.854422912086285,7218.633095867045,0.0,0.0,0.1,17
W1P3,19.939726416854025,9533.604824681355,0.0,0.0,0.1,25
W1P4,15.247897485631455,11446.829225290136,0.0,0.0,0.1,53
W2P1,41.94770508229752,6289.356201125536,0.0,0.0,0.1,9
W2P2,24.505604190638763,8249.30768078026,0.0,0.0,0.1,19
W2P3,12.522675216764384,12958.852348732404,0.0,0.0,0.1,21
W2P4,7.788153725449618,18836.848693994718,0.0,0.0,0.1,171
W3P1,50.21904768784948,5905.493661914157,0.0,0.0,0.11787951807228916,1
W3P2,33.31408379063093,7058.380128578341,0.0,0.0,0.11136867469879519,1
W3P3,21.383132530120484,9132.807869848662,0.0,0.0,0.11136867469879519,1
W3P4,16.710361445783132,10756.117816957525,0.0,0.0,0.11136867469879519,1
W4P1,56.4506424651782,5708.013760774802,0.0,0.0,0.1682843373493976,1
W4P2,40.17447603177111,6499.285048810415,0.0,0.0,0.1,3
W4P3,28.319295969538363,7813.770202637498,0.0,0.0,0.1,3
W4P4,23.646524885201014,8700.26557504409,0.0,0.0,0.1,3
W5P1,52.52196815242334,5840.871410162984,0.0,0.0,0.11190361445783079,1
W5P2,36.017291288933194,6817.534883500954,0.0,0.0,0.11190361445783133,1
W5P3,24.172048192771083,8510.905699806313,0.0,0.0,0.11190361445783133,1
W5P4,19.499277108433734,9753.007616845485,0.0,0.0,0.11190361445783133,1
W6P1,46.03848154780617,6064.407773508462,0.0,0.0,0.11980722891566284,1
W6P2,28.661204819277106,7590.561561494236,0.0,0.0,0.11980722891566269,1
W6P3,16.678554216867468,10653.223913117927,0.0,0.0,0.11980722891566269,1
W6P4,11.939130189217366,13577.532555246935,0.0,0.0,0.1,19
