场景,产量/t无储能,吨氨成本/元无储能,弃电/MWh无储能,产量/t有储能,吨氨成本/元有储能,弃电/MWh有储能,产量提升/t,成本变化/(元/t),弃电减少/MWh
W1P1,39.98444819277108,6143.942020952002,147.92579999999998,48.70410248611251,5981.852409182488,0.0,8.719654293341428,-162.0896117695138,147.92579999999998
W1P2,30.537253012048197,6512.706262783122,20.052000000000003,31.854422912086285,7218.633095867045,0.0,1.3171699000380883,705.9268330839232,20.052000000000003
W1P3,19.09317108433735,8374.933858393326,12.601800000000004,19.939726416854025,9533.604824681355,0.0,0.8465553325166759,1158.6709662880294,12.601800000000004
W1P4,13.909879518072293,10316.64165194193,19.664,15.247897485631457,11446.829225290136,0.0,1.3380179675591641,1130.1875733482048,19.664
W2P1,36.096,6198.706117021276,98.99419999999998,41.94770508229752,6289.356201125536,0.0,5.851705082297521,90.6500841042598,98.99419999999998
W2P2,23.88289156626506,7216.626248562262,9.382200000000005,24.505604190638763,8249.30768078026,0.0,0.6227126243737047,1032.681432217999,9.382200000000005
W2P3,11.615551807228917,11364.493977953112,13.3204,12.522675216764384,12958.852348732404,0.0,0.9071234095354672,1594.3583707792914,13.3204
W2P4,6.248515662650603,18452.004845873755,22.9244,7.788153725449618,18836.84869399472,0.0,1.539638062799015,384.84384812096687,22.9244
W3P1,42.92181686746988,5904.2720406068665,126.36819999999996,50.21904768784948,5905.493661914157,0.0,7.297230820379603,1.2216213072906612,126.36819999999996
W3P2,33.09640481927711,6224.524150841412,3.726400000000006,33.31408379063093,7058.380128578341,0.0,0.21767897135381986,833.8559777369292,3.726400000000006
W3P3,21.383132530120484,7790.455262564796,8.881784197001252e-16,21.383132530120484,9132.807869848662,0.0,0.0,1342.3526072838667,8.881784197001252e-16
W3P4,16.710361445783136,9038.398915614003,8.881784197001252e-16,16.710361445783136,10756.117816957523,0.0,0.0,1717.71890134352,8.881784197001252e-16
W4P1,46.18642409638554,5916.867678428012,177.2918,56.45064246517819,5708.013760774802,0.0,10.264218368792655,-208.85391765321037,177.2918
W4P2,39.34828915662651,5866.786972566282,13.32600000000001,40.1744760317711,6499.285048810416,0.0,0.8261868751445931,632.4980762441337,13.32600000000001
W4P3,28.069749397590364,6845.3758774398975,3.5858000000000083,28.319295969538363,7813.770202637498,0.0,0.24954657194799879,968.3943251976007,3.5858000000000083
W4P4,23.396978313253012,7547.921721742256,3.5858000000000065,23.64652488520101,8700.26557504409,0.0,0.24954657194799879,1152.3438533018343,3.5858000000000065
W5P1,43.377527710843374,5993.173672292921,158.64419999999998,52.52196815242334,5840.871410162984,0.0,9.144440441579967,-152.30226212993693,158.64419999999998
W5P2,35.44262168674699,6086.149062921179,9.85040000000001,36.017291288933194,6817.534883500954,0.0,0.574669602186205,731.3858205797742,9.85040000000001
W5P3,24.172048192771083,7323.430667703412,5.3290705182007506e-15,24.172048192771083,8510.905699806313,0.0,0.0,1187.4750321029014,5.3290705182007506e-15
W5P4,19.49927710843373,8280.96824102222,1.7763568394002505e-15,19.49927710843373,9753.007616845489,0.0,0.0,1472.0393758232694,1.7763568394002505e-15
W6P1,40.78653975903615,5886.725233945004,90.8262,46.03848154780617,6064.407773508462,0.0,5.251941788770019,177.6825395634578,90.8262
W6P2,28.66120481927711,6589.078759752488,8.881784197001252e-16,28.66120481927711,7590.561561494235,0.0,0.0,1001.4828017417476,8.881784197001252e-16
W6P3,16.678554216867468,8932.22919556172,8.881784197001252e-16,16.678554216867468,10653.223913117929,0.0,0.0,1720.9947175562083,8.881784197001252e-16
W6P4,11.005185542168675,11972.408878005372,13.8416,11.939130189217366,13577.532555246937,0.0,0.9339446470486905,1605.123677241565,13.8416
