小时,风电/MW,光伏/MW,风光合计/MW,常规负荷/MW,制氨负荷率,制氨功率/MW,储能充电/MW,储能放电/MW,SOC/MWh,弃电/MW,常规负荷缺供/MW
0,13.495999999999999,0.0,13.495999999999999,1.3698000000000001,0.29219759036144577,12.126199999999999,0.0,-0.0,-0.0,0.0,0.0
1,14.084000000000001,0.0,14.084000000000001,1.0997999999999999,0.3128722891566265,12.9842,0.0,0.0,-0.0,0.0,0.0
2,13.091999999999999,0.0,13.091999999999999,0.7998000000000001,0.2961975903614458,12.2922,0.0,0.0,-0.0,0.0,0.0
3,20.168,0.0,20.168,0.99,0.4621204819277109,19.178,0.0,0.0,-0.0,0.0,0.0
4,19.276,0.0,19.276,1.1802000000000001,0.4360433734939759,18.0958,0.0,0.0,-0.0,0.0,0.0
5,23.08,0.0,23.08,1.6301999999999999,0.5168626506024097,21.4498,0.0,0.0,0.0,0.0,0.0
6,28.355999999999998,14.08,42.436,2.5002,0.9623084337349398,39.9358,0.0,-0.0,0.0,0.0,0.0
7,26.36,25.6,51.96,3.3701999999999996,1.0,41.5,7.089800000000004,0.0,6.3808200000000035,0.0,0.0
8,25.076,37.12,62.196,4.0098,1.0,41.5,16.6862,0.0,21.385638360000005,0.0,0.0
9,22.112,46.08,68.192,4.199999999999999,1.0,41.5,22.49199999999999,0.0,41.58566708328,0.0,0.0
10,8.995999999999999,52.48,61.476,4.1202,1.0,41.5,15.855800000000002,0.0,55.772715749113445,0.0,0.0
11,7.652,55.04,62.692,3.9000000000000004,1.0,41.5,17.292,0.0,71.22397031761521,0.0,0.0
12,10.815999999999999,56.32,67.136,3.2598000000000003,1.0,41.5,22.376199999999997,0.0,91.22010237697998,0.0,0.0
13,10.952,56.32,67.272,2.6898,1.0,41.5,23.0822,0.0,111.81164217222602,0.0,0.0
14,15.152000000000001,52.48,67.632,3.63,1.0,41.5,22.50200000000001,0.0,131.83981888788156,0.0,0.0
15,21.66,44.8,66.46,3.8202000000000003,1.0,41.5,21.139799999999994,0.0,150.60195925010578,0.0,0.0
16,17.16,33.28,50.44,3.75,1.0,41.5,5.189999999999998,0.0,154.97175533160555,0.0,0.0
17,16.612000000000002,24.32,40.932,3.1398,1.0,41.5,0.0,3.707799999999999,150.54203404316456,0.0,0.0
18,15.328,11.52,26.848,2.61,1.0,41.5,0.0,17.262,131.06094997507822,0.0,0.0
19,9.416,0.0,9.416,2.1198,1.0,41.5,0.0,34.2038,92.79460585290583,0.0,0.0
20,8.808,0.0,8.808,1.8599999999999999,1.0,41.5,0.0,34.552,54.2179055300889,0.0,0.0
21,5.215999999999999,0.0,5.215999999999999,1.6301999999999999,1.0,41.5,0.0,37.9142,11.982580830139831,0.0,0.0
22,6.151999999999999,0.0,6.151999999999999,1.56,0.3699940747381107,15.354754101631594,0.0,10.762754101631595,-0.0,0.0,0.0
23,8.464,0.0,8.464,1.4802,0.1682843373493976,6.9838000000000005,0.0,0.0,0.0,0.0,0.0
